"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","NM_001001130",27.392310036702,0.982535706138775,0.862303527434721,1.13943138915567,0.254523270044857,0.4611450704203
"2","NM_001001144",11.6550302887149,-0.923771802109302,1.39587093122167,-0.661788838385521,0.508106560362564,0.722621594787311
"8","NM_001001179",4.39719445982712,0.507076147027609,2.55480652855401,0.198479274794482,0.84267009850941,0.937574091571043
"9","NM_001001180",4.78483716850967,5.47263405862057,1.89619879993931,2.88610775346747,0.00390038594521976,0.0181190413485329
"12","NM_001001183",100.105401355758,-1.54970957531913,0.489296016199898,-3.16722295708617,0.00153902274034894,0.00806279223369223
"15","NM_001001186",19.7551826394654,-0.810980984963235,1.24701294373441,-0.650338867000534,0.515473356371269,0.7292199949025
"16","NM_001001187",44.2305738319824,-0.199298359429915,0.603519534102355,-0.330226857903351,0.741228554397576,0.883285299707626
"17","NM_001001295",9.30278193408792,0.448801881604063,1.39518153786858,0.321679917216864,0.747695193572081,0.886936516433402
"22","NM_001001321",49.6668148400763,-0.513024895085275,0.523177801249797,-0.980593774926483,0.326793105358775,0.547775946176834
"27","NM_001001333",7.64170745836678,-0.998497345372817,1.31940877020311,-0.756776344012862,0.449183867561855,0.673651731110885
"28","NM_001001334",5.80806641191519,0.680523209979576,2.23098940879909,0.305032021799643,0.760341763905911,0.894292380204414
"31","NM_001001445",11.8497366393618,-0.259365227748581,1.70628711578337,-0.152005618133912,0.879182504516407,0.952077724797091
"32","NM_001001446",69.9189756618089,0.92562161237542,1.1750946862325,0.787699598355842,0.430872440568887,0.657005449144245
"37","NM_001001452",8.37665089567951,6.27438514807124,1.63303398380108,3.84216446829039,0.000121954068480728,0.000805549647473191
"40","NM_001001488",506.758559085516,0.84859424593565,0.298459025916397,2.8432520790085,0.00446557361463864,0.0203681775017154
"43","NM_001001491",752.386925870899,-0.900956659224137,0.351961038229787,-2.55981930203287,0.010472660070199,0.0419091650332787
"44","NM_001001492",32.8381751205851,0.00259863311373407,0.86931989768561,0.00298927140705327,0.997614910048355,0.998571254995677
"45","NM_001001493",298.564093641444,11.4317460691556,1.05871865747946,10.7977185330536,3.52862436294172e-27,1.00414144869121e-25
"46","NM_001001495",33.5311912204469,0.719669785148139,1.18045750502815,0.609653276024516,0.542091511993292,0.751388765832425
"55","NM_001001737",11.0180958788635,-7.35746436618733,1.73093329352256,-4.25057649172282,2.1322100100417e-05,0.000158416084708846
"61","NM_001001804",3.69652189170486,-5.78201135416189,2.55121769319529,-2.26637317920141,0.0234285443159029,0.0796640933226617
"63","NM_001001806",3247.37359644947,14.8746140659719,1.09247037102855,13.6155766421084,3.23581586047999e-42,2.63011763414104e-40
"69","NM_001001881",345.726974108431,0.15327395663596,0.320730945096896,0.477889517613132,0.632728842576332,0.818485528743192
"71","NM_001001883",129.655326397814,0.581019929656573,0.427982811440743,1.35757772070484,0.174597716386326,0.351683512950105
"72","NM_001001884",168.235055087126,1.56152018538257,0.430782592588845,3.62484513591509,0.000289134657476639,0.00179210677652415
"73","NM_001001885",4.10337326742728,0.89810660846462,1.83354391778522,0.489820069076646,0.624261228020109,0.812437383427129
"75","NM_001001932",419.542641946435,-0.84790743463935,0.313954626666125,-2.70073240723748,0.00691869795434568,0.0295328320856252
"76","NM_001001979",8.96622269911775,-0.0498570943273971,1.47330020018977,-0.033840417805533,0.973004405641735,0.9901156310469
"77","NM_001001980",11.0099844808497,0.203878265435222,1.55442027507682,0.131160323050435,0.895648482366454,0.960538239680987
"79","NM_001001982",74.2007024458323,-10.1090960808869,0.981572759593038,-10.2988759438253,7.12894223940966e-25,1.7498781547513e-23
