Geneid	SRR16155212
NM_001011874	23
NM_001289467	0
NM_001289466	0
NM_001289464	0
NM_001289465	0
NM_011441	0
NR_033530	0
NM_025300	0
NM_001177658	24
NM_008866	10
NM_001355712	0
NM_001159750	0
NM_011541	0
NM_001159751	0
NM_001290372	0
NM_021374	0
NM_001177795	0
NM_001310442	0
NM_133826	0
NM_009826	760
NM_001244693	0
NM_001244692	0
NM_173868	0
NR_045189	0
NR_045188	0
NM_183028	422
NM_001290392	0
NM_001290393	0
NM_001290390	0
NM_027671	0
NM_021511	272
NM_001357378	0
NM_001357376	0
NM_175236	0
NM_001357377	18
NR_015470	0
NM_178399	0
NM_173443	996
NR_040462	14
NM_177547	0
NM_133220	0
NM_001037759	0
NR_024067	15
NR_004410	0
NM_001285425	0
NR_102282	0
NM_013715	0
NM_001277101	0
NM_026493	0
NM_001368816	13
NM_001102430	21
NM_001289497	0
NM_177834	0
NM_029525	1026
NM_001033636	0
NM_001160370	0
NM_001160371	0
NM_001374633	0
NM_001310451	0
NM_001374634	0
NM_177173	0
NM_001160369	0
NM_001198566	0
NM_001198565	0
NM_172294	0
NM_172841	24
NM_001302702	30
NM_008678	43
NM_028173	543
NM_145381	0
NM_001011873	46
NM_001252192	0
NM_010164	0
NM_001310459	0
NM_010827	0
NM_001360810	0
NM_009352	0
NR_152944	0
NM_001286628	0
NM_001033288	11
NM_011291	3229
NM_133832	95
NM_001111272	0
NM_025303	0
NM_001347045	0
NM_001347044	0
NM_001271016	0
NM_025773	0
NR_073122	0
NM_001271017	0
NM_001310470	18
NM_026456	0
NM_026392	0
NM_027415	0
NM_016923	0
NM_001159711	0
NM_020604	0
NM_010267	0
NM_053191	85
NR_130314	0
NM_001356551	0
NM_031402	58
NM_001347047	0
NM_001347048	0
NR_002879	0
NR_151619	0
NM_153154	0
NM_001379074	0
NM_001379073	0
NM_009334	0
NM_001286340	0
NM_001025305	0
NM_153179	0
NR_045734	0
NR_131249	0
NR_029902	0
NR_029593	0
NM_008563	143
NM_028829	0
NM_001355122	0
NM_027974	50
NM_177409	134
NM_029398	0
NM_001290679	0
NM_010356	0
NM_001077353	21
NM_001288617	0
NR_002858	0
NM_183322	0
NM_001033904	0
NM_001310477	0
NM_023872	0
NM_001160139	0
NM_001012625	0
NM_001012624	0
NM_001012623	0
NM_183018	0
NM_053270	0
NM_025746	88
NR_029533	0
NR_029717	107
NM_001081079	0
NM_001379083	0
NM_001379082	0
NM_172124	0
NR_110972	0
NM_028534	0
NM_001290683	0
NM_001357395	0
NM_026503	31
NM_026604	46
NM_026719	0
NM_001310483	16
NM_175642	0
NM_001204913	0
NR_151583	18
NM_001081080	0
NM_011200	16
